,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
193,Orbit,The Lockdown Sessions (Christmas Edition),2021-10-22,9,2N2wWiW4fo8z15gG2tvryi,spotify:track:2N2wWiW4fo8z15gG2tvryi,0.00282,0.72,0.804,0.143,0.129,-4.231,0.0358,114.002,0.822,0,208225
194,Simple Things,The Lockdown Sessions (Christmas Edition),2021-10-22,10,2cU7ciHU9GgdEk5jz5f3WS,spotify:track:2cU7ciHU9GgdEk5jz5f3WS,0.263,0.506,0.795,7.68e-05,0.142,-4.628,0.0299,88.057,0.277,0,251585
195,Beauty In The Bones,The Lockdown Sessions (Christmas Edition),2021-10-22,11,5pUlLdqMq528taX0wMGmWS,spotify:track:5pUlLdqMq528taX0wMGmWS,0.00868,0.582,0.821,6.36e-06,0.0846,-4.417,0.0843,155.003,0.16,0,230870
196,One Of Me,The Lockdown Sessions (Christmas Edition),2021-10-22,12,5eyhRyQV57FVvm0XZl0o6g,spotify:track:5eyhRyQV57FVvm0XZl0o6g,0.16,0.708,0.593,0.0,0.169,-4.921,0.0529,144.09,0.507,0,161666
197,E-Ticket,The Lockdown Sessions (Christmas Edition),2021-10-22,13,7JPLpsPhfoZylf07s75apA,spotify:track:7JPLpsPhfoZylf07s75apA,0.00054,0.384,0.946,0.0,0.147,-2.149,0.0654,138.167,0.279,0,198817
198,Finish Line,The Lockdown Sessions (Christmas Edition),2021-10-22,14,6O1UUu4NOZMCKOyKvl09wm,spotify:track:6O1UUu4NOZMCKOyKvl09wm,0.0756,0.48,0.803,0.0,0.195,-3.415,0.0485,171.79,0.539,0,264846
199,Stolen Car,The Lockdown Sessions (Christmas Edition),2021-10-22,15,0aojbQwsmAI8jp6rWwZhIz,spotify:track:0aojbQwsmAI8jp6rWwZhIz,0.00691,0.516,0.762,0.000178,0.241,-4.306,0.0319,139.834,0.226,0,337753
200,I'm Not Gonna Miss You,The Lockdown Sessions (Christmas Edition),2021-10-22,16,4eqHfQo1ZiIgDFL4cg2E5n,spotify:track:4eqHfQo1ZiIgDFL4cg2E5n,0.0638,0.35,0.462,0.000453,0.238,-6.433,0.0273,60.016,0.111,0,176554
201,Merry Christmas,The Lockdown Sessions (Christmas Edition),2021-10-22,17,1Ok9llSDyDUz4ePyHVL96r,spotify:track:1Ok9llSDyDUz4ePyHVL96r,0.241,0.586,0.94,2.4e-06,0.0985,-2.021,0.0352,113.972,0.626,0,208546
202,Cold Heart - PNAU Remix,The Lockdown Sessions,2021-10-22,1,49it80G0Pu2L4Ip4KoToiK,spotify:track:49it80G0Pu2L4Ip4KoToiK,0.0354,0.795,0.8,7.25e-05,0.0915,-6.32,0.0309,116.032,0.934,24,202735
203,Always Love You,The Lockdown Sessions,2021-10-22,2,4PHCQGGLKjK3JIfDXmsVSR,spotify:track:4PHCQGGLKjK3JIfDXmsVSR,0.246,0.686,0.651,6.4e-06,0.114,-4.935,0.0408,122.987,0.243,24,257237
204,Learn To Fly,The Lockdown Sessions,2021-10-22,3,7k7AWoLRwxubONxNNH9adt,spotify:track:7k7AWoLRwxubONxNNH9adt,0.552,0.563,0.537,0.0,0.0655,-6.138,0.0794,173.785,0.658,15,211213
205,After All,The Lockdown Sessions,2021-10-22,4,2dvOAnaA6sEaai1q31Luvh,spotify:track:2dvOAnaA6sEaai1q31Luvh,0.361,0.501,0.556,0.000133,0.115,-5.628,0.0266,82.017,0.165,12,208714
